,Week,category_label,Verified_amount,weekly_category_spend,weekly_totals,Percent
0,1.0,1. Education,12330.0,12330.0,853663.0,1.4443638766117308
1,1.0,2. Food,68121.0,68121.0,853663.0,7.979846848229337
2,1.0,3. Essentials,105537.0,105537.0,853663.0,12.362841074288097
3,1.0,4. Savings,631198.0,631198.0,853663.0,73.93995054254431
4,1.0,5. Other,36477.0,36477.0,853663.0,4.2729976583265294
5,2.0,1. Education,3350.0,3350.0,364148.0,0.919955622439228
6,2.0,2. Food,66539.0,66539.0,364148.0,18.272515570592176
7,2.0,3. Essentials,50578.0,50578.0,364148.0,13.889407603501871
8,2.0,4. Savings,203748.0,203748.0,364148.0,55.95197557037248
9,2.0,5. Other,39933.0,39933.0,364148.0,10.966145633094236
10,3.0,1. Education,1935.0,1935.0,188781.0,1.0249972189997933
11,3.0,2. Food,57333.0,57333.0,188781.0,30.37011139892256
12,3.0,3. Essentials,34430.0,34430.0,188781.0,18.238064211970485
13,3.0,4. Savings,72041.0,72041.0,188781.0,38.16114969197112
14,3.0,5. Other,23042.0,23042.0,188781.0,12.20567747813604
15,4.0,1. Education,270.0,270.0,588889.0,0.04584904795300982
16,4.0,2. Food,72187.0,72187.0,588889.0,12.258167498458961
17,4.0,3. Essentials,25481.0,25481.0,588889.0,4.326961447743123
18,4.0,4. Savings,457745.0,457745.0,588889.0,77.73026835277955
19,4.0,5. Other,33206.0,33206.0,588889.0,5.638753653065348
20,5.0,1. Education,5535.0,5535.0,928321.0,0.5962377238045892
21,5.0,2. Food,63263.0,63263.0,928321.0,6.814776354299859
22,5.0,3. Essentials,63126.0,63126.0,928321.0,6.800018528073802
23,5.0,4. Savings,735313.0,735313.0,928321.0,79.20891588146772
24,5.0,5. Other,61084.0,61084.0,928321.0,6.580051512354023
25,6.0,1. Education,9540.0,9540.0,1280311.0,0.745131456341467
26,6.0,2. Food,112069.0,112069.0,1280311.0,8.753263855422627
27,6.0,3. Essentials,245902.0,245902.0,1280311.0,19.20642718839407
28,6.0,4. Savings,788726.0,788726.0,1280311.0,61.60425084217819
29,6.0,5. Other,124074.0,124074.0,1280311.0,9.690926657663645
30,7.0,1. Education,700.0,700.0,409293.0,0.1710266239588754
31,7.0,2. Food,61922.0,61922.0,409293.0,15.12901515540212
32,7.0,3. Essentials,54443.0,54443.0,409293.0,13.301717840275792
33,7.0,4. Savings,263092.0,263092.0,409293.0,64.27962364369779
34,7.0,5. Other,29136.0,29136.0,409293.0,7.1186167366654205
35,8.0,1. Education,1650.0,1650.0,235091.0,0.7018558770858944
36,8.0,2. Food,66382.0,66382.0,235091.0,28.23672535316112
37,8.0,3. Essentials,39562.0,39562.0,235091.0,16.82837709652858
38,8.0,4. Savings,108178.0,108178.0,235091.0,46.015372770544175
39,8.0,5. Other,19319.0,19319.0,235091.0,8.21766890268024
40,9.0,1. Education,2210.0,2210.0,728620.0,0.30331311245916937
41,9.0,2. Food,78922.0,78922.0,728620.0,10.831709258598446
42,9.0,3. Essentials,41211.0,41211.0,728620.0,5.656034695726167
43,9.0,4. Savings,579234.0,579234.0,728620.0,79.4974060552826
44,9.0,5. Other,27043.0,27043.0,728620.0,3.7115368779336277
45,10.0,1. Education,25932.0,25932.0,1202679.0,2.156186314053875
46,10.0,2. Food,102633.0,102633.0,1202679.0,8.533698518058435
47,10.0,3. Essentials,201196.0,201196.0,1202679.0,16.728985872373258
48,10.0,4. Savings,817918.0,817918.0,1202679.0,68.00800546114132
49,10.0,5. Other,55000.0,55000.0,1202679.0,4.573123834373096
50,11.0,1. Education,935.0,935.0,396573.0,0.23576995912480175
51,11.0,2. Food,84961.0,84961.0,396573.0,21.42379839272971
52,11.0,3. Essentials,72093.0,72093.0,396573.0,18.178998570250624
53,11.0,4. Savings,207461.0,207461.0,396573.0,52.3134454438401
54,11.0,5. Other,31123.0,31123.0,396573.0,7.847987634054763
55,12.0,1. Education,1271.0,1271.0,183581.0,0.6923374423279098
56,12.0,2. Food,67959.0,67959.0,183581.0,37.018536776681685
57,12.0,3. Essentials,31517.0,31517.0,183581.0,17.16789863874802
58,12.0,4. Savings,72837.0,72837.0,183581.0,39.675674497905554
59,12.0,5. Other,9997.0,9997.0,183581.0,5.445552644336833
60,13.0,1. Education,535.0,535.0,237482.0,0.22528023176493378
61,13.0,2. Food,68430.0,68430.0,237482.0,28.81481543864377
62,13.0,3. Essentials,23992.0,23992.0,237482.0,10.102660412157553
63,13.0,4. Savings,131870.0,131870.0,237482.0,55.528418995966014
64,13.0,5. Other,12655.0,12655.0,237482.0,5.328824921467732
65,14.0,1. Education,11925.0,11925.0,1520099.0,0.7844883787174388
66,14.0,2. Food,96375.0,96375.0,1520099.0,6.340047589005716
67,14.0,3. Essentials,188350.0,188350.0,1520099.0,12.39064034645112
68,14.0,4. Savings,1180119.0,1180119.0,1520099.0,77.63435144684655
69,14.0,5. Other,43330.0,43330.0,1520099.0,2.8504722389791715
70,15.0,1. Education,13940.0,13940.0,456160.0,3.055945282357068
71,15.0,2. Food,81010.0,81010.0,456160.0,17.759119607155384
72,15.0,3. Essentials,78677.0,78677.0,456160.0,17.247676253945983
73,15.0,4. Savings,236202.0,236202.0,456160.0,51.780515608558396
74,15.0,5. Other,46331.0,46331.0,456160.0,10.156743247983163
75,16.0,1. Education,150.0,150.0,361708.0,0.04146991495902773
76,16.0,2. Food,67378.0,67378.0,361708.0,18.6277328673958
77,16.0,3. Essentials,23833.0,23833.0,361708.0,6.589016554790052
78,16.0,4. Savings,253465.0,253465.0,361708.0,70.07447996726641
79,16.0,5. Other,16882.0,16882.0,361708.0,4.667300695588707
80,17.0,1. Education,1000.0,1000.0,217383.0,0.460017572671276
81,17.0,2. Food,64518.0,64518.0,217383.0,29.679413753605388
82,17.0,3. Essentials,28268.0,28268.0,217383.0,13.003776744271631
83,17.0,4. Savings,111748.0,111748.0,217383.0,51.40604371086975
84,17.0,5. Other,11849.0,11849.0,217383.0,5.45074821858195
85,18.0,1. Education,13655.0,13655.0,1251077.0,1.09145959841001
