,Week,HHID,Item_category,Original_verified_amount,weekly_total,Percent
0,1.0,101,COMMUNICATION,20.0,120.0,16.666666666666664
1,1.0,101,FOOD,30.0,120.0,25.0
2,1.0,101,PERSONAL HYGIENE,10.0,120.0,8.333333333333332
3,1.0,101,TRANSPORT,60.0,120.0,50.0
4,1.0,102,CLOTHING,35.0,4975.0,0.7035175879396985
5,1.0,102,COSMETIC,20.0,4975.0,0.4020100502512563
6,1.0,102,FINANCIAL,4900.0,4975.0,98.49246231155779
7,1.0,102,FOOD,20.0,4975.0,0.4020100502512563
8,1.0,103,COMMUNICATION,20.0,275.0,7.2727272727272725
9,1.0,103,FINANCIAL,100.0,275.0,36.36363636363637
10,1.0,103,FOOD,65.0,275.0,23.636363636363637
11,1.0,103,HEALTH,90.0,275.0,32.72727272727273
12,1.0,105,CLOTHING,200.0,800.0,25.0
13,1.0,105,COSMETIC,90.0,800.0,11.25
14,1.0,105,FOOD,100.0,800.0,12.5
15,1.0,105,HOUSEHOLD ITEM,250.0,800.0,31.25
16,1.0,105,PERSONAL HYGIENE,100.0,800.0,12.5
17,1.0,105,TRANSPORT,60.0,800.0,7.5
18,1.0,106,COMMUNICATION,20.0,1584.0,1.2626262626262625
19,1.0,106,FINANCIAL,1000.0,1584.0,63.13131313131313
20,1.0,106,FOOD,64.0,1584.0,4.040404040404041
21,1.0,106,HEALTH,500.0,1584.0,31.565656565656564
22,1.0,107,COMMUNICATION,20.0,1297.5,1.5414258188824663
23,1.0,107,COSMETIC,500.0,1297.5,38.53564547206166
24,1.0,107,FINANCIAL,700.0,1297.5,53.94990366088632
25,1.0,107,FOOD,77.5,1297.5,5.973025048169557
26,1.0,108,COMMUNICATION,40.0,6590.0,0.6069802731411229
27,1.0,108,FINANCIAL,2000.0,6590.0,30.349013657056144
28,1.0,108,FOOD,30.0,6590.0,0.4552352048558422
29,1.0,108,HOUSING,4500.0,6590.0,68.28528072837634
30,1.0,108,SERVICE,20.0,6590.0,0.30349013657056145
31,1.0,109,COMMUNICATION,60.0,150.0,40.0
32,1.0,109,FOOD,40.0,150.0,26.666666666666668
33,1.0,109,HEALTH,50.0,150.0,33.33333333333333
34,1.0,110,CLOTHING,4000.0,4632.5,86.34646519158122
35,1.0,110,COMMUNICATION,100.0,4632.5,2.1586616297895307
36,1.0,110,COSMETIC,250.0,4632.5,5.396654074473826
37,1.0,110,FOOD,222.5,4632.5,4.803022126281705
38,1.0,110,HEALTH,60.0,4632.5,1.2951969778737182
39,1.0,111,COMMUNICATION,120.0,230.0,52.17391304347826
40,1.0,111,FINANCIAL,50.0,230.0,21.73913043478261
41,1.0,111,FOOD,60.0,230.0,26.08695652173913
42,1.0,112,CLOTHING,1000.0,1475.0,67.79661016949152
43,1.0,112,COMMUNICATION,20.0,1475.0,1.3559322033898304
44,1.0,112,COSMETIC,100.0,1475.0,6.779661016949152
45,1.0,112,FINANCIAL,60.0,1475.0,4.067796610169491
46,1.0,112,FOOD,55.0,1475.0,3.728813559322034
47,1.0,112,HEALTH,140.0,1475.0,9.491525423728813
48,1.0,112,HOUSEHOLD ITEM,100.0,1475.0,6.779661016949152
49,1.0,113,FOOD,40.0,40.0,100.0
50,1.0,115,FOOD,32.0,32.0,100.0
51,1.0,116,FINANCIAL,2000.0,2522.5,79.28642220019822
52,1.0,116,FOOD,22.5,2522.5,0.8919722497522299
53,1.0,116,HOUSEHOLD ITEM,500.0,2522.5,19.821605550049554
54,1.0,117,FOOD,22.5,22.5,100.0
55,1.0,118,FOOD,30.0,65.0,46.15384615384615
56,1.0,118,RECREATIONAL SUBSTANCES,35.0,65.0,53.84615384615385
57,1.0,201,CHARITY OR RELIGIOUS,2.0,3127.0,0.06395906619763352
58,1.0,201,COMMUNICATION,100.0,3127.0,3.197953309881676
59,1.0,201,FINANCIAL,3000.0,3127.0,95.93859929645026
60,1.0,201,TRANSPORT,25.0,3127.0,0.799488327470419
61,1.0,202,FINANCIAL,500.0,3507.5,14.255167498218105
62,1.0,202,FOOD,27.5,3507.5,0.7840342124019958
63,1.0,202,HEALTH,480.0,3507.5,13.684960798289382
64,1.0,202,HOUSING,2500.0,3507.5,71.27583749109053
65,1.0,205,FOOD,10.0,10.0,100.0
66,1.0,206,FOOD,20.0,20.0,100.0
67,1.0,207,CHARITY OR RELIGIOUS,20.0,1330.0,1.5037593984962405
68,1.0,207,COMMUNICATION,30.0,1330.0,2.2556390977443606
69,1.0,207,FINANCIAL,1000.0,1330.0,75.18796992481202
70,1.0,207,FOOD,280.0,1330.0,21.052631578947366
71,1.0,208,FINANCIAL,10530.0,10580.0,99.52741020793951
72,1.0,208,FOOD,50.0,10580.0,0.4725897920604915
73,1.0,209,COMMUNICATION,50.0,172.5,28.985507246376812
74,1.0,209,FINANCIAL,65.0,172.5,37.68115942028986
75,1.0,209,FOOD,22.5,172.5,13.043478260869565
76,1.0,209,TRANSPORT,35.0,172.5,20.28985507246377
77,1.0,301,FOOD,20.0,390.0,5.128205128205128
78,1.0,301,HOUSEHOLD ITEM,300.0,390.0,76.92307692307693
79,1.0,301,TRANSPORT,70.0,390.0,17.94871794871795
80,1.0,303,CLOTHING,350.0,3851.0,9.088548428979486
81,1.0,303,FINANCIAL,3231.0,3851.0,83.90028564009349
82,1.0,303,FOOD,102.5,3851.0,2.6616463256297065
83,1.0,303,HOUSEHOLD ITEM,30.0,3851.0,0.7790184367696702
84,1.0,303,PERSONAL HYGIENE,90.0,3851.0,2.337055310309011
85,1.0,303,TRANSPORT,47.5,3851.0,1.2334458582186445
86,1.0,305,FINANCIAL,3100.0,3130.0,99.04153354632588
87,1.0,305,FOOD,20.0,3130.0,0.6389776357827476
88,1.0,305,HEALTH,10.0,3130.0,0.3194888178913738
89,1.0,306,CLOTHING,100.0,3168.5,3.156067539845352
90,1.0,306,FINANCIAL,3013.5,3168.5,95.1080953132397
91,1.0,306,FOOD,20.0,3168.5,0.6312135079690705
92,1.0,306,HEALTH,10.0,3168.5,0.31560675398453525
93,1.0,306,RECREATIONAL SUBSTANCES,25.0,3168.5,0.789016884961338
94,1.0,309,COMMUNICATION,50.0,120.0,41.66666666666667
95,1.0,309,FOOD,70.0,120.0,58.333333333333336
96,1.0,310,FINANCIAL,3500.0,3538.0,98.92594686263426
97,1.0,310,FOOD,38.0,3538.0,1.0740531373657434
98,1.0,311,COMMUNICATION,30.0,120.0,25.0
99,1.0,311,FOOD,40.0,120.0,33.33333333333333
100,1.0,311,RECREATIONAL SUBSTANCES,50.0,120.0,41.66666666666667
101,1.0,313,FINANCIAL,20.0,92.5,21.62162162162162
102,1.0,313,FOOD,62.5,92.5,67.56756756756756
103,1.0,313,HEALTH,10.0,92.5,10.81081081081081
104,1.0,314,FINANCIAL,75.0,92.5,81.08108108108108
105,1.0,314,FOOD,17.5,92.5,18.91891891891892
106,1.0,315,CLOTHING,40.0,100.0,40.0
107,1.0,315,FOOD,60.0,100.0,60.0
108,1.0,316,FINANCIAL,3500.0,3539.0,98.89799378355467
109,1.0,316,FOOD,15.0,3539.0,0.42384854478666295
110,1.0,316,HEALTH,24.0,3539.0,0.6781576716586606
111,1.0,317,FINANCIAL,350.0,610.0,57.377049180327866
112,1.0,317,FOOD,20.0,610.0,3.278688524590164
113,1.0,317,RECREATIONAL SUBSTANCES,240.0,610.0,39.34426229508197
114,1.0,318,FOOD,62.5,62.5,100.0
115,1.0,401,COMMUNICATION,50.0,6595.0,0.7581501137225171
116,1.0,401,FINANCIAL,6500.0,6595.0,98.55951478392721
117,1.0,401,FOOD,45.0,6595.0,0.6823351023502654
118,1.0,402,COMMUNICATION,20.0,1740.0,1.1494252873563218
119,1.0,402,FINANCIAL,1000.0,1740.0,57.47126436781609
120,1.0,402,FOOD,20.0,1740.0,1.1494252873563218
121,1.0,402,HOUSING,700.0,1740.0,40.229885057471265
122,1.0,404,CLOTHING,40.0,3580.0,1.1173184357541899
123,1.0,404,FINANCIAL,3520.0,3580.0,98.32402234636871
124,1.0,404,FOOD,20.0,3580.0,0.5586592178770949
125,1.0,405,FINANCIAL,11000.0,11032.5,99.70541581690459
126,1.0,405,FOOD,27.5,11032.5,0.24926353954226152
127,1.0,405,TRANSPORT,5.0,11032.5,0.04532064355313845
128,1.0,406,FINANCIAL,8500.0,8545.0,99.4733762434172
129,1.0,406,FOOD,10.0,8545.0,0.11702750146284377
130,1.0,406,HEALTH,10.0,8545.0,0.11702750146284377
131,1.0,406,HOUSEHOLD ITEM,20.0,8545.0,0.23405500292568754
132,1.0,406,RECREATIONAL SUBSTANCES,5.0,8545.0,0.058513750731421885
133,1.0,407,EDUCATION,1000.0,12525.0,7.984031936127744
134,1.0,407,FINANCIAL,9000.0,12525.0,71.8562874251497
135,1.0,407,FOOD,25.0,12525.0,0.19960079840319359
136,1.0,407,HOUSING,2500.0,12525.0,19.960079840319363
137,1.0,408,FINANCIAL,600.0,745.0,80.53691275167785
138,1.0,408,FOOD,15.0,745.0,2.013422818791946
139,1.0,408,RECREATIONAL SUBSTANCES,10.0,745.0,1.342281879194631
