Week,1. Food,2. Education,3. Essentials,4. Cash Transfer,5. Insurance,6. Loan,7. Savings,8. Other
1.0,0.37,5.35,35.44,4.94,0.01,2.79,8.31,42.79
2.0,0.3,2.22,32.59,1.66,0.09,1.62,1.68,59.83
3.0,0.84,1.81,73.42,1.82,0.0,1.56,1.33,19.23
4.0,0.65,0.32,38.49,1.24,0.0,7.01,2.54,49.74
5.0,0.43,0.64,42.1,3.56,0.0,2.42,9.63,41.22
6.0,0.64,6.36,41.09,5.48,0.06,3.24,3.83,39.31
7.0,0.5,0.67,44.83,3.32,0.0,1.04,1.56,48.08
8.0,0.75,6.66,77.42,2.03,0.0,1.5,1.21,10.43
9.0,0.55,10.94,50.61,5.17,0.0,2.22,10.84,19.68
10.0,0.54,8.43,59.44,5.04,0.09,3.79,7.94,14.74
11.0,0.27,0.27,30.95,0.54,0.02,1.34,0.54,66.06
12.0,0.92,1.22,79.88,1.29,0.0,1.39,1.37,13.93
13.0,1.0,1.34,84.19,1.86,0.0,1.0,1.82,8.78
14.0,0.53,5.27,48.97,5.7,0.05,3.83,8.42,27.23
15.0,0.48,8.3,56.12,2.52,0.0,3.49,3.04,26.04
16.0,0.58,0.68,63.81,0.32,0.0,2.87,0.78,30.96
17.0,0.55,0.18,76.22,1.07,0.0,0.9,1.72,19.37
18.0,0.33,3.43,31.81,2.77,0.0,1.9,6.21,53.56
19.0,0.59,3.92,55.45,5.86,0.14,6.14,7.47,20.44
20.0,0.05,0.01,6.81,0.15,0.0,0.12,0.2,92.66
21.0,1.0,0.17,71.35,1.97,0.0,2.13,2.58,20.8
22.0,0.27,2.16,33.96,0.65,0.0,0.43,1.08,61.45
23.0,0.34,5.73,29.14,3.97,0.03,2.27,5.2,53.32
24.0,0.36,2.15,48.64,1.86,0.2,1.49,2.43,42.87
25.0,0.49,1.62,71.72,1.38,0.0,0.51,2.98,21.31
26.0,0.78,1.56,54.96,1.7,0.0,2.16,0.9,37.93
27.0,0.53,8.82,49.41,5.55,0.05,2.61,10.18,22.84
28.0,0.45,4.85,49.85,4.11,0.0,5.1,5.71,29.93
29.0,0.53,3.08,66.55,4.37,0.01,1.03,1.62,22.83
30.0,0.43,2.06,64.23,1.41,0.0,0.57,1.45,29.86
31.0,0.06,0.49,7.6,0.85,0.01,0.56,1.34,89.09
32.0,0.23,3.9,22.46,2.05,0.0,1.88,2.13,67.34
33.0,0.38,2.54,41.46,0.85,0.0,1.03,1.92,51.81
34.0,0.73,2.05,70.45,1.39,0.0,1.63,2.41,21.33
35.0,0.4,1.6,54.91,1.65,0.0,0.9,5.47,35.06
36.0,0.5,3.65,47.01,6.69,0.0,4.94,6.64,30.56
37.0,0.65,1.52,68.63,0.59,0.02,1.57,2.17,24.86
38.0,0.5,0.67,56.59,1.19,0.0,0.98,1.87,38.21
39.0,0.13,0.17,11.67,0.19,0.0,0.4,0.27,87.16
40.0,0.41,6.4,41.73,4.51,0.01,1.77,6.5,38.67
41.0,0.08,0.5,6.08,0.29,0.0,0.64,0.33,92.07
42.0,0.54,3.96,53.31,1.86,0.09,1.54,1.9,36.8
43.0,0.85,1.42,47.75,1.84,0.0,1.43,2.85,43.87
44.0,0.5,10.92,50.95,3.97,0.07,2.4,10.36,20.83
45.0,0.41,5.1,38.05,3.41,0.0,1.8,4.99,46.23
46.0,0.63,8.32,46.4,8.26,0.1,2.73,16.57,17.01
47.0,0.72,7.92,34.39,2.28,0.0,0.5,0.97,53.24
48.0,0.5,0.17,60.31,0.6,0.0,0.7,2.05,35.67
49.0,0.57,8.58,56.08,5.44,0.1,3.6,9.93,15.69
50.0,0.37,1.84,35.61,1.31,0.01,1.07,1.9,57.89
51.0,0.43,2.17,32.79,0.82,0.0,0.58,0.73,62.47
52.0,0.82,0.55,12.33,0.9,0.0,1.73,1.2,82.47
