Week,1. Food,2. Education,3. Essentials,4. Cash Transfer,5. Insurance,6. Loan,7. Savings,8. Other,1. Food_pct_change,2. Education_pct_change,3. Essentials_pct_change,4. Cash Transfer_pct_change,5. Insurance_pct_change,6. Loan_pct_change,7. Savings_pct_change,8. Other_pct_change
1.0,35.0,500.0,3312.0,1000.0,200.0,1000.0,2000.0,3998.5,,,,,,,,
2.0,30.0,220.0,3225.5,175.0,1750.0,970.0,620.0,5922.0,-14.29,-56.0,-2.61,-82.5,775.0,-3.0,-69.0,48.11
3.0,30.0,65.0,2635.0,65.0,0.0,550.0,245.0,690.0,0.0,-70.45,-18.31,-62.86,-100.0,-43.3,-60.48,-88.35
4.0,30.0,15.0,1782.0,50.0,0.0,720.0,1725.0,2302.5,0.0,-76.92,-32.37,-23.08,,30.91,604.08,233.7
5.0,30.0,45.0,2966.0,100.0,200.0,1000.0,3445.5,2904.5,0.0,200.0,66.44,100.0,inf,38.89,99.74,26.15
6.0,50.0,500.0,3230.0,200.0,1750.0,2000.0,2000.0,3090.0,66.67,1011.11,8.9,100.0,775.0,100.0,-41.95,6.39
7.0,30.0,40.0,2687.5,95.0,0.0,1000.0,935.0,2882.0,-40.0,-92.0,-16.8,-52.5,-100.0,-50.0,-53.25,-6.73
8.0,30.0,267.5,3109.0,71.0,0.0,550.0,500.0,419.0,0.0,568.75,15.68,-25.26,,-45.0,-46.52,-85.46
9.0,30.0,600.0,2776.5,200.0,0.0,750.0,3130.0,1080.0,0.0,124.3,-10.69,181.69,,36.36,526.0,157.76
10.0,32.0,500.0,3526.0,500.0,500.0,1000.0,2000.0,874.5,6.67,-16.67,26.99,150.0,inf,33.33,-36.1,-19.03
11.0,30.0,30.0,3413.0,100.0,2000.0,850.0,380.0,7285.0,-6.25,-94.0,-3.2,-80.0,300.0,-15.0,-81.0,733.05
12.0,30.0,40.0,2610.0,70.0,0.0,550.0,193.0,455.0,0.0,33.33,-23.53,-30.0,-100.0,-35.29,-49.21,-93.75
13.0,30.0,40.0,2516.0,100.0,0.0,600.0,200.0,262.5,0.0,0.0,-3.6,42.86,,9.09,3.63,-42.31
14.0,30.0,300.0,2788.0,850.0,500.0,1000.0,1780.0,1550.0,0.0,650.0,10.81,750.0,inf,66.67,790.0,490.48
15.0,32.0,550.0,3718.0,172.5,0.0,1000.0,1000.0,1725.5,6.67,83.33,33.36,-79.71,-100.0,0.0,-43.82,11.32
16.0,30.0,35.0,3305.5,70.0,0.0,600.0,250.0,1604.0,-6.25,-93.64,-11.09,-59.42,,-40.0,-75.0,-7.04
17.0,30.0,10.0,4142.0,110.0,0.0,600.0,200.0,1052.5,0.0,-71.43,25.31,57.14,,0.0,-20.0,-34.38
18.0,30.0,315.0,2923.5,500.0,0.0,935.0,2050.0,4922.5,0.0,3050.0,-29.42,354.55,,55.83,925.0,367.7
19.0,30.0,200.0,2828.0,425.0,1150.0,1000.0,1000.0,1042.5,0.0,-36.51,-3.27,-15.0,inf,6.95,-51.22,-78.82
20.0,30.0,5.0,4315.0,100.0,0.0,850.0,300.0,58735.0,0.0,-97.5,52.58,-76.47,-100.0,-15.0,-70.0,5534.05
21.0,30.0,5.0,2135.5,100.0,0.0,600.0,200.0,622.5,0.0,0.0,-50.51,0.0,,-29.41,-33.33,-98.94
22.0,25.0,200.0,3145.5,67.5,0.0,500.0,500.0,5692.5,-16.67,3900.0,47.3,-32.5,,-16.67,150.0,814.46
23.0,30.0,500.0,2542.0,1000.0,1350.0,1000.0,1950.5,4652.0,20.0,150.0,-19.19,1381.48,inf,100.0,290.1,-18.28
24.0,30.0,180.0,4070.0,255.0,500.0,1000.0,700.0,3587.5,0.0,-64.0,60.11,-74.5,-62.96,0.0,-64.11,-22.88
25.0,30.0,100.0,4424.5,150.0,50.0,500.0,352.5,1315.0,0.0,-44.44,8.71,-41.18,-90.0,-50.0,-49.64,-63.34
26.0,25.0,50.0,1758.5,100.0,50.0,467.5,150.0,1213.5,-16.67,-50.0,-60.26,-33.33,0.0,-6.5,-57.45,-7.72
27.0,30.0,500.0,2800.0,1000.0,350.0,750.0,2304.0,1294.5,20.0,900.0,59.23,900.0,600.0,60.43,1436.0,6.67
28.0,30.0,325.0,3341.5,500.0,50.0,1000.0,1037.0,2006.0,0.0,-35.0,19.34,-50.0,-85.71,33.33,-54.99,54.96
29.0,30.0,175.0,3782.5,110.0,130.0,500.0,517.5,1297.5,0.0,-46.15,13.2,-78.0,160.0,-50.0,-50.1,-35.32
30.0,25.0,120.0,3750.0,110.0,50.0,500.0,330.0,1743.0,-16.67,-31.43,-0.86,0.0,-61.54,0.0,-36.23,34.34
