,Item_category,Original_verified_amount
0,AGRICULTURE,40.0
1,CHARITY OR RELIGIOUS,10.0
2,CLOTHING,200.0
3,COMMUNICATION,40.0
4,CONSTRUCTION,250.0
5,COSMETIC,85.0
6,EDUCATION,210.0
7,ELECTRONIC DEVICE,175.0
8,EMPLOYMENT,100.0
9,FINANCIAL,550.0
10,FOOD,30.0
11,FUEL,10.0
12,HEALTH,72.0
13,HOLIDAY OR CELEBRATION,295.0
14,HOUSEHOLD APPLIANCE,200.0
15,HOUSEHOLD ITEM,50.0
16,HOUSING,2500.0
17,LEGAL FEE OR CONTRIBUTION,10.0
18,LEISURE,250.0
19,LIVESTOCK,250.0
20,MISCELLANEOUS,95.0
21,PERSONAL HYGIENE,28.5
22,RECREATIONAL SUBSTANCES,20.0
23,SERVICE,65.0
24,TRANSPORT,40.0
25,UTILITIES,250.0
26,WEDDING,650.0
