Week,AGRICULTURE,CHARITY OR RELIGIOUS,CLOTHING,COMMUNICATION,CONSTRUCTION,COSMETIC,EDUCATION,ELECTRONIC DEVICE,EMPLOYMENT,FINANCIAL,FOOD,FUEL,HEALTH,HOLIDAY OR CELEBRATION,HOUSEHOLD APPLIANCE,HOUSEHOLD ITEM,HOUSING,LEGAL FEE OR CONTRIBUTION,LEISURE,LIVESTOCK,MISCELLANEOUS,PERSONAL HYGIENE,RECREATIONAL SUBSTANCES,SERVICE,TRANSPORT,UTILITIES,WEDDING
1.0,0.0,0.14,2.94,0.43,0.0,2.14,5.35,6.21,0.0,16.05,0.37,0.0,2.14,0.0,3.21,0.64,27.82,0.0,2.68,0.0,7.49,0.35,0.21,1.07,0.32,4.38,16.05
2.0,3.03,0.13,3.94,0.48,0.2,0.99,2.22,0.0,0.0,5.05,0.3,0.25,0.56,0.0,0.53,0.71,27.28,0.0,3.03,41.42,0.0,0.3,0.2,0.61,0.4,3.31,5.05
3.0,0.0,0.28,4.18,0.84,0.56,1.95,1.81,2.79,2.79,4.71,0.84,0.28,1.95,0.0,0.28,1.39,62.69,0.56,2.79,0.0,0.56,0.56,0.56,0.56,0.84,6.27,0.0
4.0,0.76,0.22,4.32,0.65,0.0,1.57,0.32,0.0,0.0,10.8,0.65,2.16,2.16,0.0,0.0,0.86,32.4,0.43,4.32,0.0,32.4,0.48,0.32,4.54,0.65,0.0,0.0
5.0,0.03,0.18,2.38,0.71,0.0,1.03,0.64,31.65,0.0,15.61,0.43,0.14,0.5,0.0,0.0,0.71,33.71,0.0,2.84,0.0,0.5,0.43,0.21,1.7,0.78,5.83,0.0
6.0,0.0,0.25,3.56,0.64,5.72,1.14,6.36,2.54,0.0,12.61,0.64,0.06,1.27,2.29,12.08,0.76,31.8,2.54,3.18,3.31,0.64,0.51,0.38,0.89,0.76,6.04,0.0
7.0,0.0,0.17,1.75,0.78,0.0,1.67,0.67,4.17,0.0,5.92,0.5,0.42,1.29,0.0,0.12,1.67,33.36,0.0,4.17,33.36,0.0,0.47,0.33,0.67,1.0,7.51,0.0
8.0,0.0,0.27,2.49,0.77,0.0,1.37,6.66,1.74,0.0,4.73,0.75,0.5,1.0,0.0,0.75,0.57,57.28,0.0,0.75,0.0,0.75,0.5,0.5,1.25,1.0,16.39,0.0
9.0,0.0,0.18,2.28,0.55,0.0,1.82,10.94,4.19,0.0,18.23,0.55,0.0,0.91,0.0,5.47,0.82,39.19,0.18,3.46,0.0,0.0,0.51,0.36,0.91,0.59,8.86,0.0
10.0,0.0,0.17,2.63,0.59,0.0,1.69,8.43,0.0,3.37,16.86,0.54,8.43,1.35,0.0,0.0,0.56,42.14,0.17,4.21,0.34,0.0,0.67,0.42,1.18,0.84,5.41,0.0
11.0,0.0,0.09,0.91,0.45,0.0,0.54,0.27,0.0,0.0,2.45,0.27,0.7,0.62,4.53,0.91,0.5,24.03,1.36,1.81,54.41,0.45,0.2,0.18,0.36,0.41,4.53,0.0
12.0,0.0,0.31,3.52,1.07,0.0,2.75,1.22,0.0,0.0,4.06,0.92,0.61,2.75,0.0,0.0,1.53,61.21,0.0,0.0,1.53,0.0,0.92,0.61,3.67,1.07,12.24,0.0
13.0,0.0,0.49,1.84,1.0,0.0,1.61,1.34,0.0,0.0,4.68,1.0,1.67,2.68,0.0,2.68,0.92,72.78,0.0,0.0,0.0,0.0,0.77,0.75,0.5,1.17,4.12,0.0
14.0,0.0,0.18,2.55,0.7,0.0,1.58,5.27,0.0,0.0,18.0,0.53,0.09,1.14,0.0,10.54,0.88,40.4,0.18,4.39,0.0,5.27,0.49,0.35,0.97,0.88,5.27,0.35
15.0,0.53,0.2,2.72,0.6,3.77,1.09,8.3,0.42,0.0,9.06,0.48,1.96,1.51,8.0,2.08,0.75,45.28,0.15,5.43,0.0,0.0,0.42,0.3,0.6,0.6,5.74,0.0
16.0,0.97,0.17,2.46,0.58,2.99,1.93,0.68,1.93,0.0,3.98,0.58,0.14,0.97,0.0,9.84,0.77,53.08,0.0,7.96,0.0,0.0,0.58,0.39,1.54,0.58,7.88,0.0
17.0,0.55,0.18,2.76,0.55,0.0,1.24,0.18,0.0,0.0,3.68,0.55,5.52,1.05,0.0,1.84,0.46,64.4,0.0,9.2,0.0,0.18,0.46,0.37,2.58,0.55,3.68,0.0
18.0,2.72,0.11,1.09,0.33,10.88,1.09,3.43,14.42,0.0,10.88,0.33,2.18,1.69,1.63,0.41,0.54,25.02,0.11,2.72,0.0,10.88,0.34,0.22,1.03,0.41,1.85,5.71
19.0,0.0,0.2,4.9,0.78,0.0,1.42,3.92,0.0,0.0,19.61,0.59,0.1,1.27,2.94,0.59,0.78,49.01,1.96,3.92,0.0,2.35,0.55,0.39,0.98,0.78,2.94,0.0
20.0,0.0,0.02,0.32,0.06,0.08,0.13,0.01,0.39,0.0,0.47,0.05,0.24,0.09,2.48,1.81,0.05,6.31,0.0,0.16,63.11,1.1,0.05,0.03,0.11,0.06,0.0,22.88
21.0,0.67,0.33,3.84,1.0,0.0,3.34,0.17,4.01,0.0,6.68,1.0,0.25,1.67,0.0,1.0,0.92,41.76,0.0,4.01,0.0,0.0,1.0,0.67,2.0,1.34,24.32,0.0
22.0,0.43,0.11,1.62,0.43,0.0,0.86,2.16,1.3,0.0,2.16,0.27,0.0,0.54,0.0,0.0,0.54,32.39,0.0,0.43,0.0,54.76,0.28,0.22,1.19,0.32,0.0,0.0
23.0,0.0,0.11,1.72,0.46,0.0,1.09,5.73,45.85,0.0,11.46,0.34,0.11,0.69,0.34,0.0,0.6,25.22,0.11,2.58,0.0,0.0,0.48,0.34,0.57,0.34,1.83,0.0
24.0,0.0,0.12,1.31,0.36,20.32,1.02,2.15,3.41,1.2,5.98,0.36,2.87,1.2,0.0,0.0,1.2,37.94,1.55,3.29,8.37,0.24,0.36,0.27,0.6,0.42,5.5,0.0
25.0,0.0,0.16,2.51,0.65,0.0,1.54,1.62,0.0,0.0,4.86,0.49,4.86,0.89,0.0,0.0,0.81,63.21,0.0,5.02,8.51,0.0,0.34,0.32,2.43,0.69,1.07,0.0
26.0,0.0,0.31,4.69,0.94,13.13,2.23,1.56,7.5,2.34,4.77,0.78,0.0,2.19,0.0,1.09,1.31,46.88,0.0,1.72,0.0,0.0,0.89,0.94,2.66,1.56,2.5,0.0
27.0,4.32,0.18,2.65,0.53,2.29,1.76,8.82,0.0,0.0,18.39,0.53,0.0,1.76,4.41,0.0,0.88,44.12,0.18,4.41,0.0,0.35,0.53,0.35,1.06,0.71,1.76,0.0
28.0,7.46,0.16,2.31,0.6,0.15,1.42,4.85,0.0,11.94,14.92,0.45,0.15,1.63,0.22,0.45,0.82,43.27,0.15,2.98,0.0,0.26,0.45,0.34,1.27,0.6,3.17,0.0
29.0,2.11,0.18,2.42,0.53,0.0,1.94,3.08,0.0,0.0,7.02,0.53,0.18,1.23,8.8,0.62,0.7,61.58,0.0,2.38,2.64,0.0,0.57,0.35,0.7,0.88,1.58,0.0
30.0,0.0,0.17,1.63,0.65,0.0,0.91,2.06,5.14,0.0,3.43,0.43,0.34,2.06,0.0,6.85,0.6,59.95,5.14,2.06,0.0,5.14,0.46,0.51,1.71,0.77,0.0,0.0
31.0,0.0,0.02,0.25,0.1,0.15,0.12,0.49,0.62,0.0,2.75,0.06,0.05,0.19,0.0,3.45,0.1,6.89,0.02,0.8,82.47,0.86,0.06,0.05,0.14,0.07,0.23,0.05
32.0,2.34,0.08,1.25,0.31,0.0,0.66,3.9,38.63,0.23,6.07,0.23,0.08,0.78,7.41,7.8,0.23,19.51,0.08,1.95,0.0,0.16,0.22,0.23,0.59,0.23,1.33,5.7
33.0,0.0,0.13,2.54,0.51,12.69,0.72,2.54,0.0,0.0,3.81,0.38,0.13,1.08,6.35,0.7,0.63,38.08,1.4,3.81,0.0,21.64,0.32,0.32,0.63,0.38,0.98,0.25
34.0,0.0,0.36,5.2,0.73,0.0,1.81,2.05,0.0,0.0,5.44,0.73,0.97,1.57,0.0,0.73,0.73,62.84,0.0,1.09,3.38,6.28,0.58,0.48,1.27,0.97,2.8,0.0
