Week,AGRICULTURE,CHARITY OR RELIGIOUS,CLOTHING,COMMUNICATION,CONSTRUCTION,COSMETIC,EDUCATION,ELECTRONIC DEVICE,EMPLOYMENT,FINANCIAL,FOOD,FUEL,HEALTH,HOLIDAY OR CELEBRATION,HOUSEHOLD APPLIANCE,HOUSEHOLD ITEM,HOUSING,LEGAL FEE OR CONTRIBUTION,LEISURE,LIVESTOCK,MISCELLANEOUS,PERSONAL HYGIENE,RECREATIONAL SUBSTANCES,SERVICE,TRANSPORT,UTILITIES,WEDDING,AGRICULTURE_pct_change,CHARITY OR RELIGIOUS_pct_change,CLOTHING_pct_change,COMMUNICATION_pct_change,CONSTRUCTION_pct_change,COSMETIC_pct_change,EDUCATION_pct_change,ELECTRONIC DEVICE_pct_change,EMPLOYMENT_pct_change,FINANCIAL_pct_change,FOOD_pct_change,FUEL_pct_change,HEALTH_pct_change,HOLIDAY OR CELEBRATION_pct_change,HOUSEHOLD APPLIANCE_pct_change,HOUSEHOLD ITEM_pct_change,HOUSING_pct_change,LEGAL FEE OR CONTRIBUTION_pct_change,LEISURE_pct_change,LIVESTOCK_pct_change,MISCELLANEOUS_pct_change,PERSONAL HYGIENE_pct_change,RECREATIONAL SUBSTANCES_pct_change,SERVICE_pct_change,TRANSPORT_pct_change,UTILITIES_pct_change,WEDDING_pct_change
1.0,0.0,13.5,275.0,40.0,0.0,200.0,500.0,580.0,0.0,1500.0,35.0,0.0,200.0,0.0,300.0,60.0,2600.0,0.0,250.0,0.0,700.0,33.0,20.0,100.0,30.0,409.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,300.0,12.5,390.0,47.5,20.0,97.5,220.0,0.0,0.0,500.0,30.0,25.0,55.0,0.0,52.0,70.0,2700.0,0.0,300.0,4100.0,0.0,30.0,20.0,60.0,40.0,328.0,500.0,inf,-7.41,41.82,18.75,inf,-51.25,-56.0,-100.0,,-66.67,-14.29,inf,-72.5,,-82.67,16.67,3.85,,20.0,inf,-100.0,-9.09,0.0,-40.0,33.33,-19.8,-66.67
3.0,0.0,10.0,150.0,30.0,20.0,70.0,65.0,100.0,100.0,169.0,30.0,10.0,70.0,0.0,10.0,50.0,2250.0,20.0,100.0,0.0,20.0,20.0,20.0,20.0,30.0,225.0,0.0,-100.0,-20.0,-61.54,-36.84,0.0,-28.21,-70.45,inf,inf,-66.2,0.0,-60.0,27.27,,-80.77,-28.57,-16.67,inf,-66.67,-100.0,inf,-33.33,0.0,-66.67,-25.0,-31.4,-100.0
4.0,35.0,10.0,200.0,30.0,0.0,72.5,15.0,0.0,0.0,500.0,30.0,100.0,100.0,0.0,0.0,40.0,1500.0,20.0,200.0,0.0,1500.0,22.0,15.0,210.0,30.0,0.0,0.0,inf,0.0,33.33,0.0,-100.0,3.57,-76.92,-100.0,-100.0,195.86,0.0,900.0,42.86,,-100.0,-20.0,-33.33,0.0,100.0,,7400.0,10.0,-25.0,950.0,0.0,-100.0,
5.0,2.0,12.5,167.5,50.0,0.0,72.5,45.0,2230.0,0.0,1100.0,30.0,10.0,35.0,0.0,0.0,50.0,2375.0,0.0,200.0,0.0,35.0,30.0,15.0,120.0,55.0,411.0,0.0,-94.29,25.0,-16.25,66.67,,0.0,200.0,inf,,120.0,0.0,-90.0,-65.0,,,25.0,58.33,-100.0,0.0,,-97.67,36.36,0.0,-42.86,83.33,inf,
6.0,0.0,20.0,280.0,50.0,450.0,90.0,500.0,200.0,0.0,991.0,50.0,5.0,100.0,180.0,950.0,60.0,2500.0,200.0,250.0,260.0,50.0,40.0,30.0,70.0,60.0,475.0,0.0,-100.0,60.0,67.16,0.0,inf,24.14,1011.11,-91.03,,-9.91,66.67,-50.0,185.71,inf,inf,20.0,5.26,inf,25.0,inf,42.86,33.33,100.0,-41.67,9.09,15.57,
7.0,0.0,10.0,105.0,47.0,0.0,100.0,40.0,250.0,0.0,355.0,30.0,25.0,77.5,0.0,7.0,100.0,2000.0,0.0,250.0,2000.0,0.0,28.0,20.0,40.0,60.0,450.0,0.0,,-50.0,-62.5,-6.0,-100.0,11.11,-92.0,25.0,,-64.18,-40.0,400.0,-22.5,-100.0,-99.26,66.67,-20.0,-100.0,0.0,669.23,-100.0,-30.0,-33.33,-42.86,0.0,-5.26,
8.0,0.0,11.0,100.0,31.0,0.0,55.0,267.5,70.0,0.0,190.0,30.0,20.0,40.0,0.0,30.0,23.0,2300.0,0.0,30.0,0.0,30.0,20.0,20.0,50.0,40.0,658.0,0.0,,10.0,-4.76,-34.04,,-45.0,568.75,-72.0,,-46.48,0.0,-20.0,-48.39,,328.57,-77.0,15.0,,-88.0,-100.0,inf,-28.57,0.0,25.0,-33.33,46.22,
9.0,0.0,10.0,125.0,30.0,0.0,100.0,600.0,230.0,0.0,1000.0,30.0,0.0,50.0,0.0,300.0,45.0,2150.0,10.0,190.0,0.0,0.0,28.0,20.0,50.0,32.5,486.0,0.0,,-9.09,25.0,-3.23,,81.82,124.3,228.57,,426.32,0.0,-100.0,25.0,,900.0,95.65,-6.52,inf,533.33,,-100.0,40.0,0.0,0.0,-18.75,-26.14,
10.0,0.0,10.0,156.0,35.0,0.0,100.0,500.0,0.0,200.0,1000.0,32.0,500.0,80.0,0.0,0.0,33.5,2500.0,10.0,250.0,20.0,0.0,40.0,25.0,70.0,50.0,321.0,0.0,,0.0,24.8,16.67,,0.0,-16.67,-100.0,inf,0.0,6.67,inf,60.0,,-100.0,-25.56,16.28,0.0,31.58,inf,,42.86,25.0,40.0,53.85,-33.95,
