HHID,median_weekly_consumption,weekly_consump_per_member
101,1805.0,601.67
102,242.5,34.64
103,380.0,63.33
105,1000.0,500.0
106,184.0,92.0
107,185.0,30.83
108,6000.0,2000.0
109,239.5,119.75
110,3497.5,874.38
111,1268.5,422.83
112,2348.0,782.67
113,1471.0,735.5
115,622.5,311.25
116,1159.0,579.5
117,572.5,
118,610.0,
120,648.5,216.17
201,818.0,409.0
202,1536.5,768.25
204,190.0,47.5
205,312.0,104.0
206,960.5,480.25
207,460.0,153.33
208,5056.0,2528.0
209,60.0,30.0
217,1540.0,308.0
218,280.0,70.0
221,388.0,64.67
222,1431.0,286.2
223,1270.0,254.0
225,850.0,283.33
301,617.5,154.38
302,145.0,36.25
303,3063.0,765.75
305,277.5,46.25
306,2300.0,460.0
309,2514.5,838.17
310,1011.0,337.0
311,210.0,70.0
312,1015.0,145.0
313,1475.5,295.1
314,2492.0,498.4
315,1190.0,595.0
316,1391.0,695.5
317,645.0,107.5
318,2044.5,408.9
319,481.0,240.5
320,3029.0,757.25
321,4500.0,900.0
401,477.5,119.38
402,799.5,
404,205.0,102.5
405,1180.0,393.33
406,152.5,30.5
407,630.5,210.17
408,1014.5,202.9
409,892.5,297.5
410,697.5,139.5
411,807.5,403.75
412,180.0,22.5
413,1807.5,451.88
414,1062.5,212.5
416,862.0,172.4
418,200.0,33.33
420,450.0,225.0
421,142.5,47.5
501,457.5,228.75
503,3963.0,1981.5
504,820.0,273.33
505,1713.0,856.5
506,2155.0,718.33
507,1656.5,828.25
508,1065.5,
509,10790.0,3596.67
510,1223.0,244.6
511,1832.5,916.25
513,3492.5,1164.17
514,681.5,170.38
515,1757.5,878.75
516,522.5,261.25
517,770.5,
518,1313.0,
519,2109.0,1054.5
520,3871.5,1290.5
602,1014.0,253.5
604,882.5,
605,1297.0,432.33
606,4153.0,1038.25
607,545.0,272.5
610,2754.0,
611,1492.5,
612,441.0,220.5
613,2009.0,1004.5
614,2010.5,
615,1057.5,352.5
616,1087.5,543.75
617,1066.0,355.33
618,1347.5,673.75
621,1730.0,865.0
622,1075.0,537.5
802,1170.0,292.5
803,1515.0,303.0
805,170.0,42.5
806,267.5,133.75
807,1542.5,385.62
810,50.0,25.0
811,330.0,165.0
812,1077.5,538.75
813,330.0,110.0
816,350.0,38.89
817,4701.5,
818,3045.0,1522.5
819,545.0,181.67
820,10.0,5.0
821,755.0,
823,2666.0,1333.0
901,1948.5,487.12
902,140.0,23.33
903,2015.0,503.75
905,2128.0,1064.0
906,1660.0,830.0
907,1786.0,446.5
908,5574.0,929.0
909,1974.0,493.5
910,1456.5,
911,980.5,490.25
912,1041.0,260.25
913,1002.5,501.25
914,4060.0,2030.0
915,2042.5,1021.25
916,3582.5,895.62
917,511.5,127.88
919,500.0,125.0
920,7610.0,1522.0
1001,915.5,228.88
1002,350.0,50.0
1003,1975.0,493.75
1004,3269.5,817.38
1005,1340.0,335.0
1006,1345.0,336.25
1007,1070.0,
1008,1534.5,
1009,3081.0,770.25
1010,4000.0,1333.33
1011,243.0,81.0
1012,577.5,82.5
1014,1477.5,738.75
1015,255.0,63.75
1016,1080.0,540.0
1018,3967.5,661.25
1019,3290.0,1096.67
1020,232.0,
1103,2687.5,671.88
1105,1500.0,750.0
1106,975.0,195.0
1107,1110.0,185.0
1108,2900.0,580.0
1109,962.5,240.62
1110,2150.0,358.33
1111,441.0,110.25
1113,3265.0,816.25
1114,3590.5,897.62
1116,404.0,134.67
1117,166.0,33.2
1118,120.0,24.0
1119,92.0,18.4
1120,1782.5,594.17
1202,1234.0,308.5
1203,3252.5,1626.25
1204,2538.0,634.5
1211,413.0,59.0
1212,2185.5,364.25
1214,1029.5,343.17
1221,1351.0,
1222,1355.0,193.57
1223,1543.0,385.75
1224,2200.0,440.0
1225,772.5,257.5
1226,2522.5,504.5
1227,1426.0,
