,Week,Verified_amount
0,1.0,2500.0
1,2.0,880.0
2,3.0,500.0
3,4.0,500.0
4,5.0,2200.0
5,6.0,3616.5
6,7.0,646.5
7,8.0,425.0
8,9.0,991.0
9,10.0,4000.0
10,11.0,592.0
11,12.0,401.0
12,13.0,380.0
13,14.0,5500.0
14,15.0,680.0
15,16.0,375.0
16,17.0,313.5
17,18.0,2605.0
18,19.0,2039.0
19,20.0,700.0
20,21.0,435.0
21,22.0,500.0
22,23.0,6000.0
23,24.0,795.0
24,25.0,500.0
25,26.0,407.0
26,27.0,3295.0
27,28.0,1200.0
28,29.0,600.0
29,30.0,444.0
30,31.0,3000.0
31,32.0,1500.0
32,33.0,585.0
33,34.0,500.0
34,35.0,600.0
35,36.0,2630.0
36,37.0,550.0
37,38.0,500.0
38,39.0,547.5
39,40.0,4200.0
40,41.0,722.5
41,42.0,490.0
42,43.0,413.0
43,44.0,1375.0
44,45.0,2120.0
45,46.0,3000.0
46,47.0,2360.0
47,48.0,690.0
48,49.0,2850.0
49,50.0,632.0
50,51.0,500.0
51,52.0,392.0
