Week,DateStart,DateEnd,Month
1.0,2016-08-05,8/11/16 0:00,8
2.0,2016-08-12,8/18/16 0:00,8
3.0,2016-08-19,8/25/16 0:00,8
4.0,2016-08-26,9/1/16 0:00,8
5.0,2016-09-02,9/8/16 0:00,9
6.0,2016-09-09,9/15/16 0:00,9
7.0,2016-09-16,9/22/16 0:00,9
8.0,2016-09-23,9/29/16 0:00,9
9.0,2016-09-30,10/6/16 0:00,9
10.0,2016-10-07,10/13/16 0:00,10
11.0,2016-10-14,10/20/16 0:00,10
12.0,2016-10-21,10/27/16 0:00,10
13.0,2016-10-28,11/3/16 0:00,10
14.0,2016-11-04,11/10/16 0:00,11
15.0,2016-11-10,11/17/16 0:00,11
16.0,2016-11-18,11/24/16 0:00,11
17.0,2016-11-25,12/1/16 0:00,11
18.0,2016-12-02,12/8/16 0:00,12
19.0,2016-12-09,12/15/16 0:00,12
20.0,2016-12-16,12/22/16 0:00,12
21.0,2016-12-23,12/29/16 0:00,12
22.0,2016-12-30,1/5/17 0:00,12
23.0,2016-12-06,12/12/16 0:00,12
24.0,2017-01-13,1/19/17 0:00,1
25.0,2017-01-20,1/26/17 0:00,1
26.0,2017-01-27,2/2/17 0:00,1
27.0,2017-02-03,2/9/17 0:00,2
28.0,2017-02-10,2/16/17 0:00,2
29.0,2017-02-17,2/23/17 0:00,2
30.0,2017-02-24,3/2/17 0:00,2
31.0,2017-03-03,3/9/17 0:00,3
32.0,2017-03-10,3/16/17 0:00,3
33.0,2017-03-17,3/23/17 0:00,3
34.0,2017-03-24,3/30/17 0:00,3
35.0,2017-03-31,4/6/17 0:00,3
36.0,2017-04-07,4/13/17 0:00,4
37.0,2017-04-07,4/13/17 0:00,4
38.0,2017-04-21,4/27/17 0:00,4
39.0,2017-04-28,5/4/17 0:00,4
40.0,2017-05-05,5/11/17 0:00,5
41.0,2017-05-12,5/18/17 0:00,5
42.0,2017-05-19,5/25/17 0:00,5
43.0,2017-05-26,6/1/17 0:00,5
44.0,2017-06-02,6/8/17 0:00,6
45.0,2017-06-09,6/15/17 0:00,6
46.0,2017-06-16,6/22/17 0:00,6
47.0,2017-06-23,6/29/17 0:00,6
48.0,2017-06-30,7/6/17 0:00,6
49.0,2017-07-07,7/13/17 0:00,7
50.0,2017-07-14,7/20/17 0:00,7
51.0,2017-07-21,7/27/17 0:00,7
52.0,2017-07-28,8/3/17 0:00,7
